Company,"Notice Date","Impact Date","Employees Affected",Location,"Contact Person","Notice Type","Collective Bargaining Unit"
GXO,04/27/2026,06/30/2026,66,"Henrico VA","ShaLa Woods",Closure,
"Republic National Distributing Company LLC",04/23/2026,06/21/2026,428,"Ashland VA","Camille Davis",Closure,
"Oliver Inc. ",04/21/2026,07/26/2026,72,"North Chesterfield VA","Diane Ferrante",Closure,
"Central Garden &amp; Pet",04/14/2026,04/14/2026,94,"Richmond VA","Erin Carr",Closure,
"Voyant Beauty",04/10/2026,06/30/2026,95,"Roanoke VA","Marbella Duran",Closure,
"PCA (Packaging Corporation of America)",03/31/2026,06/01/2026,109,"Richmond VA","Mark Romaniuk",Closure,"United Steel, Paper and Forestry, Rubber, Manufacturing, Energy, Allied Industrial and service Workers International Union, Local No. 8-699"
AeroFarms,03/27/2026,04/17/2026,133,"Ringgold VA","Carlos Nunez",Closure,
"BAE Systems",03/19/2026,03/18/2026,119,"Vienna VA","Leriza  Alcancia",Layoff,
"Bering Global Solutions (BGS)",03/18/2026,06/30/2026,108,"Arlington VA","Kat Stevens",Layoff,"Kent Emery, President, kemery@quspu.com; Lonnie Davis, Vice President, comedianl@yahoo.com; Mike Martin, Union Representative, michaeltyronema@gmail.com; John Rymes, Union Representative, johnrhymes@icloud.com"
"Saks &amp; Company LLC (Saks Fifth Avenue Store)",03/06/2026,05/06/2026,70,"McLean VA","Dana Schwatzenfeld",Closure,
"C2 Technologies",03/02/2026,03/06/2026,2,"McLean VA","Felicity Booker",Layoff,
"Speyside Bourbon Cooperage in Virginia Inc.",02/23/2026,04/23/2026,52,"Atkins VA","Drew Brock",Layoff,
"JC Penney",02/18/2026,05/29/2026,74,"Springfield VA","Kristin Bowling",Closure,
"Huntington Ingall Industries (HII) Mission Technologies",02/17/2026,04/17/2026,74,"Virginia Beach VA","Neela Guthrie",Layoff,
AOL,02/17/2026,03/01/2026,108,"Reston VA","James Murphy",Layoff,
"Saks &amp; Company LLC (Saks Fifth Avenue Store)",02/10/2026,04/11/2026,40,"Richmond VA","Janet Lee",Closure,
"Liberty Dental Plan Corporation",02/05/2026,04/06/2026,0,"Staunton VA","Robin Wiessner",Layoff,
"Bahama Breeze",02/03/2026,04/05/2026,62,"Woodbridge VA","Megan Robinson",Closure,
Amazon,01/28/2026,04/27/2026,691,"Fairfax, Franconia, Lorton, Alexandria &amp; Falls church VA","Lindsey Winter",Layoff,
"PMI-U.S. Corporate Services (Phillip Morris)",01/28/2026,04/17/2026,135,"Richmond VA","Susan  Woodard",Closure,
"Bear Express LLC",01/27/2026,04/01/2026,168,"Norfolk &amp; Virginia Beach VA","Matthew Poulos",Closure,
Leidos,01/21/2026,03/23/2026,93,"Ashburn VA","Sharday Torres",Layoff,
"Yokohama Tire Manufacturing Virginia LLC",01/16/2026,03/18/2026,533,"Salem VA","Adam Bruce",Closure,"The United Steel, Paper &amp; Forestry, Rubber, Manufacturing, Energy, Allied Industrial &amp; Service Workers International Union, Local Union 1203. Steve Jones, chief elected officer, United Steelworkers, USW Local 1023, 116 W. Riverside Dr., Salem, VA 24153"
"SMBC Manubank",01/08/2026,03/10/2026,6,"Various VA","Robin Milberg",Closure,
"Railcrew Xpress (RCX)",12/22/2025,02/27/2026,29,"Newport News &amp; Portsmouth  VA","Tara  Johnson",Closure,
"Railcrew Xpress (RCX)",12/22/2025,02/27/2026,26,"Richmond VA","Tara  Johnson",Closure,
"Giant Delivers",12/12/2025,02/10/2026,90,"Manassas VA","Joe Urban",Closure,"Sean M. O'Brian, General President International Brotherhood of Teamsters, Local639, 25 Louisiana Ave., NW Washington, DC2000 &amp; Milton Jones, President, United Food &amp; Commercial Workers International Union, Local 400, 1775 K St., NW, Washingotn, DC2006"
"Richmond Print Group",12/09/2025,02/08/2026,76,"Richmond VA","Shane Hillmer",Layoff,
Fortrex,12/02/2025,12/05/2025,68,"Martinsville VA","Nicholas Wallace",Layoff,
"10 Roads Express LLC",12/01/2025,01/30/2026,70,"Harrisonburg VA","Aaron Gunderson",Closure,
"Harris Teeter",11/18/2025,02/01/2026,91,"Franconia VA","Angie Danielewicz",Closure,
Amazon-BWI1,11/14/2025,01/30/2026,247,"Sterling VA","Lindsay  Winter",Closure,
"Diamond Transportation Services Inc.",11/07/2025,11/30/2025,61,"Springfield VA","Jahaira Zagarell",Closure,"Amalgamated Transit Union Local 689 (“ATU 689”) 2701 Whitney Place, Forestville, MD  20747.  Raymond Jackson, agent/president email: rjackson@atu689.org or International Brotherhood Teamsters Local 639 (“IBT 639”) 3100 Ames Place N.E., Washington, D.C.  20018. Ronald Davis, agent email: davis@local639.org  "
"Qbase LLC",10/31/2025,12/30/2025,60,"Reston VA","Davida  Gray",Closure,
"Wellmore Energy Compny LLC",10/31/2025,12/31/2025,9,"Big Rock VA","Gary  Prater",Layoff,
"Top Guard Security",10/23/2025,10/31/2025,79,"Richmond VA","Theresa Morris",Closure,
"Merrifield Garden Center Corp",10/17/2025,12/31/2025,97,"Manassas VA","David Watkins",Closure,
"United States Patent and Trademark Office (USPTO)",10/14/2025,12/09/2025,126,"Alexandria VA","Carolyn Schad",Closure,
"Home Care Delivered Inc. ",10/06/2025,12/10/2025,73,"Glen Allen VA","Maggie Smith",Layoff,
"Wellmore Energy Company LLC ",10/06/2025,12/06/2025,12,"Big Rock VA","Gary  (423) 279-6900",Layoff,
"Wellmore Energy LLC (Paw Paw 2 South)",10/06/2025,12/06/2025,95,"Big Rock VA","Gary Prater",Layoff,
"Wellmore Energy Company LLC",10/06/2025,12/06/2025,8,"Grundy VA","Gary  Prater",Layoff,
"Wellmore Energy Company LLC ",10/06/2025,12/06/2025,1,"Hurley VA","Gary  Prater",Layoff,
"Wellmore Energy Company LLC ",10/06/2025,12/06/2025,2,"Grundy VA","Gary  Prater",Layoff,
"Sentara Health",10/03/2025,12/05/2025,127,"Virginia Beach VA","Jacqueline Scott",Layoff,
Peraton,10/03/2025,12/05/2025,92,"Reston VA","Brittany  Dellinger",Layoff,
"SimplyIOA LLC",10/03/2025,12/02/2025,1,"Spotsylvania VA","Amanda  Russ",Closure,
"ImmunityBio Inc. ",09/18/2025,11/17/2025,1,"Halifax Co.  VA","Emily Arison",Layoff,
